No,Sumber,Ni_sto,Co_sto,Mn_sto,sint_temp,sint_time,dop_el,dop_ionrad,dop_eln,dop_sto,xrd_a,xrd_c,del_V,init_cap,%_cr,init_cap_score,%cr_inc_score
46,"Ti, etc (Yang Jiang)",0.784,0.098,0.098,800,10,Al,0.535,1.61,0.02,2.8678,14.2028,1.5,174,96,0,1
62,"Al, Fe (Eilers-Retswich",0.6,0.2,0.15,850,10,Al,0.535,1.61,0.05,2.866,14.239,1.7999999999999998,128,88,0,0
82,Al (Yu Han),0.83,0.12,0.05,750,14,Al,0.535,1.61,0.0072,2.8752,14.1951,1.7000000000000002,179,92,1,1
83,Al (Yu Han),0.83,0.12,0.05,750,14,Al,0.535,1.61,0.0096,2.8753,14.1994,1.7000000000000002,190,96,1,1
84,Al (Yu Han),0.83,0.12,0.05,750,14,Al,0.535,1.61,0.012,2.8738,14.2078,1.7000000000000002,182,95,1,1
112,"Zr, Al (Yong Ming)",0.83,0.12,0.05,780,12,Al,0.535,1.61,0.01,2.8711,14.1915,1.7000000000000002,195,76,2,1
114,Al (Lei Cheng),0.7,0.1,0.2,850,14,Al,0.535,1.61,0.0036,2.8756,14.1937,1.4000000000000004,178,68,1,1
115,Al (Lei Cheng),0.7,0.1,0.2,850,14,Al,0.535,1.61,0.0075,2.8733,14.216,1.4000000000000004,181,78,1,2
116,Al (Lei Cheng),0.7,0.1,0.2,850,14,Al,0.535,1.61,0.0115,2.8739,14.216,1.4000000000000004,179,70,1,1
118,Al (Xing Yang),0.87,0.095,0.025,760,16,Al,0.535,1.61,0.01,2.8731,14.187,1.5,192,93,2,2
119,Al (Xing Yang),0.86,0.095,0.025,760,16,Al,0.535,1.61,0.02,2.8726,14.1897,1.5,190,96,1,2
120,Al (Xing Yang),0.85,0.095,0.025,760,16,Al,0.535,1.61,0.03,2.8717,14.1909,1.5,188,93,1,2
122,Al (Shan Wang),0.8,0.1,0.08,800,15,Al,0.535,1.61,0.02,2.8567,14.145,1.4000000000000004,186,88,1,1
123,Al (Shan Wang),0.8,0.1,0.060000000000000005,800,15,Al,0.535,1.61,0.04,2.8556,14.1529,1.4000000000000004,184,91,1,1
124,Al (Shan Wang),0.8,0.1,0.04000000000000001,800,15,Al,0.535,1.61,0.06,2.8563,14.1565,1.4000000000000004,168,89,0,1
71,Cu (Tong Wu),0.796,0.0995,0.0995,800,16,Cu,0.73,1.9,0.005,2.8696,14.1944,1.5,175,87,1,0
72,Cu (Tong Wu),0.792,0.099,0.099,800,16,Cu,0.73,1.9,0.01,2.8693,14.1871,1.5,188,90,1,1
73,Cu (Tong Wu),0.784,0.098,0.098,800,16,Cu,0.73,1.9,0.02,2.8665,14.1792,1.5,157,76,0,0
75,Cu (Yang Lu),0.6,0.19,0.2,820,14,Cu,0.73,1.9,0.01,2.8652,14.2377,1.7000000000000002,165,92,0,1
68,"K, Ti (Yao)",0.8,0.1,0.1,800,16,K,1.38,0.82,0.05,2.8767,14.2193,1.4500000000000002,170,93,0,2
138,K (Tingting),0.8,0.1,0.1,800,12,K,1.38,0.82,0.032,2.8679,14.186,1.7999999999999998,184,89,1,1
143,"Ti, K (Wenli)",0.8,0.1,0.1,800,16,K,1.38,0.82,0.05,2.87666,14.21925,2.0999999999999996,170,93,0,2
15,Mg (Zhenjun),0.6,0.19,0.2,850,15,Mg,0.72,1.31,0.01,2.8661,14.2119,1.5,160,89,0,1
16,Mg (Zhenjun),0.6,0.17,0.2,850,15,Mg,0.72,1.31,0.03,2.8659,14.2146,1.5,159,91,0,1
17,Mg (Zhenjun),0.6,0.15,0.2,850,15,Mg,0.72,1.31,0.05,2.8675,14.2215,1.5,155,87,0,1
45,"Ti, etc (Yang Jiang)",0.784,0.098,0.098,800,10,Mg,0.72,1.31,0.02,2.8694,14.1943,1.5,174,93,0,1
77,Mg (Yeting),0.83,0.12,0.05,770,10,Mg,0.72,1.31,0.0072,,,1.7000000000000002,197,92,2,1
78,Mg (Yeting),0.83,0.12,0.05,770,10,Mg,0.72,1.31,0.0096,,,1.7000000000000002,200,94,2,1
79,Mg (Yeting),0.83,0.12,0.05,770,10,Mg,0.72,1.31,0.012,,,1.7000000000000002,196,92,2,1
80,Mg (Yeting),0.83,0.12,0.05,770,10,Mg,0.72,1.31,0.0145,,,1.7000000000000002,191,92,2,1
23,Na (Juan Yu),0.8,0.1,0.1,800,15,Na,1.02,0.93,0.03,2.8749,14.2096,1.5,180,80,1,0
35,Na (Zhenjun),0.6,0.2,0.2,800,15,Na,1.02,0.93,0.01,2.8648,14.2115,1.5,162,94,0,1
36,Na (Zhenjun),0.6,0.2,0.2,800,15,Na,1.02,0.93,0.03,2.8674,14.2146,1.5,163,92,0,1
19,Nb (Siyang),0.594,0.198,0.198,870,15,Nb,0.64,1.6,0.01,2.869,14.233,1.5,177,91,1,2
20,Nb (Siyang),0.588,0.196,0.196,870,15,Nb,0.64,1.6,0.02,,,1.5,169,94,0,2
86,Nb (Jing Li),0.8,0.1,0.1,800,12,Nb,0.64,1.6,0.005,2.8706,14.1997,1.5999999999999996,172,90,0,2
87,Nb (Jing Li),0.8,0.1,0.1,800,12,Nb,0.64,1.6,0.01,2.8709,14.2024,1.5999999999999996,182,95,1,2
88,Nb (Jing Li),0.8,0.1,0.1,800,12,Nb,0.64,1.6,0.02,2.8713,14.2127,1.5999999999999996,163,88,0,2
89,Nb (Jing Li),0.8,0.1,0.1,800,12,Nb,0.64,1.6,0.03,2.8707,14.2019,1.5999999999999996,139,82,0,2
96,Nb (Lei),0.792,0.099,0.099,800,15,Nb,0.64,1.6,0.01,2.8793,14.2436,1.7999999999999998,190,90,1,2
1,La (Dong),0.8,0.1,0.1,750,15,None,0.0,0.0,0.0,2.871,14.2087,1.5,185,74,1,0
4,Ti (Rui Du),0.8,0.1,0.1,850,20,None,0.0,0.0,0.0,2.8727,14.2012,1.7000000000000002,188,82,1,0
9,Ti (Huabin),0.8,0.1,0.1,750,6,None,0.0,0.0,0.0,2.8749,14.2002,1.7999999999999998,192,70,2,0
14,Mg (Zhenjun),0.6,0.2,0.2,850,15,None,0.0,0.0,0.0,2.869,14.2077,1.5,162,84,0,0
18,Nb (Siyang),0.6,0.2,0.2,870,15,None,0.0,0.0,0.0,2.867,14.217,1.5,179,78,1,0
21,Na (Juan Yu),0.8,0.1,0.1,800,15,None,0.0,0.0,0.0,2.8763,14.2133,1.5,190,81,1,0
34,Na (Zhenjun),0.6,0.2,0.2,800,15,None,0.0,0.0,0.0,2.8648,14.2113,1.5,158,84,0,0
37,Sb (Yunjiao),0.8,0.1,0.1,800,20,None,0.0,0.0,0.0,2.8727,14.1967,1.4000000000000004,187,90,1,0
41,Ti (Jun-Ho),0.7,0.15,0.15,800,10,None,0.0,0.0,0.0,2.8693,14.2091,1.2999999999999998,181,86,1,0
44,"Ti, etc (Yang Jiang)",0.8,0.1,0.1,800,10,None,0.0,0.0,0.0,2.866,14.182,1.5,174,91,0,0
50,Ga (Liping Wu),0.8,0.1,0.1,750,15,None,0.0,0.0,0.0,2.8696,14.1801,1.5,184,68,1,0
54,Sn (Eilers-Retswisch),0.6,0.2,0.2,850,10,None,0.0,0.0,0.0,2.867,14.192,1.8,148,91,0,0
67,"K, Ti (Yao)",0.8,0.1,0.1,800,16,None,0.0,0.0,0.0,2.8699,14.2005,1.4500000000000002,182,79,1,0
74,Cu (Yang Lu),0.6,0.2,0.2,820,14,None,0.0,0.0,0.0,2.8611,14.1973,1.7000000000000002,157,91,0,0
76,Mg (Yeting),0.83,0.12,0.05,770,10,None,0.0,0.0,0.0,2.8685,14.1949,1.7000000000000002,202,87,2,0
81,Al (Yu Han),0.83,0.12,0.05,750,14,None,0.0,0.0,0.0,2.8754,14.1946,1.7000000000000002,184,89,1,0
85,Nb (Jing Li),0.8,0.1,0.1,800,12,None,0.0,0.0,0.0,2.8705,14.1972,1.5999999999999996,182,42,1,0
97,"Ti, B (Fangjun)",0.8,0.1,0.1,820,12,None,0.0,0.0,0.0,2.8712,14.1582,1.5,187,71,1,0
100,Zr (Tao He),0.8,0.1,0.1,800,12,None,0.0,0.0,0.0,2.8695,14.1998,1.7000000000000002,179,81,1,0
108,Zr (Kwangjin),0.9,0.05,0.05,750,24,None,0.0,0.0,0.0,2.8729,14.1976,1.5499999999999998,202,72,2,0
110,"Zr, Al (Yong Ming)",0.83,0.12,0.05,780,12,None,0.0,0.0,0.0,2.8702,14.1857,1.7000000000000002,195,74,2,0
113,Al (Lei Cheng),0.7,0.1,0.2,850,14,None,0.0,0.0,0.0,2.8754,14.2225,1.4000000000000004,178,64,1,0
117,Al (Xing Yang),0.88,0.095,0.025,760,16,None,0.0,0.0,0.0,2.8746,14.1869,1.5,195,75,2,0
121,Al (Shan Wang),0.8,0.1,0.1,800,15,None,0.0,0.0,0.0,2.8717,14.1905,1.4000000000000004,189,84,1,0
125,"Ti, coat (Huiping)",0.79,0.1,0.11,830,12,None,0.0,0.0,0.0,2.8695,14.1958,1.5999999999999996,178,80,1,0
127,"Ti, coat (Huiping)",0.79,0.1,0.11,830,12,None,0.0,0.0,0.0,2.8695,14.1958,1.7999999999999998,181,70,1,0
129,Ta (Binbin),0.6,0.2,0.2,870,15,None,0.0,0.0,0.0,2.8644,14.2177,1.5,180,80,1,0
133,Ta (Binbin),0.6,0.2,0.2,870,15,None,0.0,0.0,0.0,2.8644,14.2177,1.2999999999999998,160,91,0,0
137,K (Tingting),0.79,0.11,0.1,800,12,None,0.0,0.0,0.0,2.8657,14.177,1.7999999999999998,180,84,1,0
139,Cr (Ya-Di),0.6,0.2,0.2,800,12,None,0.0,0.0,0.0,2.8704,14.2075,1.5999999999999996,137,92,0,0
142,"Ti, K (Wenli)",0.8,0.1,0.1,800,16,None,0.0,0.0,0.0,2.86991,14.20054,2.0999999999999996,182,80,1,0
130,Ta (Binbin),0.6,0.2,0.2,870,15,Ta,0.64,1.5,0.001,,,1.5,183,79,1,0
