Ni_sto,Co_sto,Mn_sto,sint_temp,sint_time,dop_elem,dop_sto,xrd_a,xrd_c,Rca,init_cap,%_cr
0.8,0.1,0.1,750,15.0,None,0.0,2.871,14.2087,4.949,185,74.0
0.79,0.1,0.1,750,15.0,La,0.01,2.8709,14.2005,4.9464,190,90.0
0.77,0.1,0.1,750,15.0,La,0.03,2.8712,14.2013,4.9461,175,95.0
0.8,0.1,0.1,850,20.0,None,0.0,2.8727,14.2012,4.9435,188,82.0
0.792,0.099,0.099,850,20.0,Ti,0.01,2.8729,14.2112,4.9466,187,89.0
0.784,0.098,0.098,850,20.0,Ti,0.02,2.8733,14.2147,4.9472,182,93.0
0.776,0.097,0.097,850,20.0,Ti,0.03,2.8741,14.2226,4.9485,169,94.0
0.76,0.095,0.095,850,20.0,Ti,0.05,2.8773,14.2423,4.9499,158,94.0
0.8,0.1,0.1,750,6.0,None,0.0,2.8749,14.2002,4.9394,192,70.0
0.776,0.097,0.097,750,6.0,Ti,0.03,2.8773,14.2262,4.9443,197,84.0
0.8,0.1,0.1,900,10.0,None,0.0,2.8721,14.2099,4.9476,147,77.0
0.8,0.1,0.1,900,10.0,Ti,0.005,2.8762,14.2412,4.9514,166,85.0
0.8,0.1,0.1,900,10.0,Ti,0.01,2.8812,14.2611,4.9497,121,69.0
0.6,0.2,0.2,850,15.0,None,0.0,2.869,14.2077,4.9521,162,84.0
0.6,0.19,0.2,850,15.0,Mg,0.01,2.8661,14.2119,4.9586,160,89.0
0.6,0.17,0.2,850,15.0,Mg,0.03,2.8659,14.2146,4.9599,159,91.0
0.6,0.15,0.2,850,15.0,Mg,0.05,2.8675,14.2215,4.9595,155,87.0
0.6,0.2,0.2,870,15.0,None,0.0,2.867,14.217,4.9588,179,78.0
0.594,0.198,0.198,870,15.0,Nb,0.01,2.869,14.233,4.961,177,91.0
0.588,0.196,0.196,870,15.0,Nb,0.02,,,,169,94.0
0.8,0.1,0.1,800,15.0,None,0.0,2.8763,14.2133,4.9415,190,81.0
0.8,0.1,0.1,800,15.0,Na,0.02,2.8749,14.2096,4.9426,180,80.0
0.8,0.1,0.1,850,24.0,Na,0.03,,,,172,74.0
0.78,0.1,0.1,850,24.0,Na,0.04,,,,172,96.0
0.8,0.1,0.1,780,15.0,Na,0.05,2.8719,14.1965,4.948,172,71.0
0.8,0.1,0.09,780,15.0,None,0.0,2.8679,14.1929,4.9482,162,83.0
0.8,0.1,0.1,750,,Al,0.02,2.8721,14.1985,4.9436,174,97.0
0.8,0.1,0.1,750,,None,0.0,2.8727,14.2008,4.9434,174,98.0
0.8,0.1,0.1,750,,Al,0.01,2.8719,14.1993,4.9442,173,94.0
0.8,0.1,0.1,750,,None,0.0,2.8717,14.1994,4.9446,169,96.0
0.6,0.2,0.2,800,15.0,Na,0.01,2.8648,14.2113,4.9607,158,84.0
0.6,0.2,0.2,800,15.0,K,0.01,2.8648,14.2115,4.9607,162,94.0
0.6,0.2,0.2,800,15.0,Rb,0.01,2.8674,14.2146,4.9574,163,92.0
0.8,0.1,0.1,800,20.0,None,0.0,2.8727,14.1967,4.9419,187,90.0
0.8,0.1,0.1,800,20.0,Na,0.01,2.8735,14.1999,4.9417,186,92.0
0.8,0.1,0.1,800,20.0,Na,0.03,2.8751,14.2054,4.9408,187,93.0
0.8,0.1,0.1,800,20.0,None,0.0,2.8762,14.2085,4.94,187,95.0
0.7,0.15,0.15,800,10.0,Sb,0.01,2.8693,14.2091,4.9521,181,86.0
0.7,0.15,0.15,800,10.0,Sb,0.03,2.8696,14.213,4.953,181,98.0
0.784,0.098,0.098,800,10.0,Sb,0.05,2.8717,14.2049,4.946,169,82.0
0.8,0.1,0.1,800,10.0,None,0.0,2.866,14.182,4.948,174,91.0
0.784,0.098,0.098,800,10.0,Ti,,2.8694,14.1943,4.952,174,93.0
0.784,0.098,0.098,800,10.0,Zn,0.02,2.8678,14.2028,4.9525,174,96.0
0.784,0.098,0.098,800,10.0,None,0.0,2.8661,14.1947,4.9526,169,98.0
0.8,0.1,0.1,800,12.0,Mg,0.02,2.863,14.23,4.97,137,75.0
0.8,0.1,0.09,800,12.0,Al,0.02,2.866,14.268,4.978,171,92.0
0.8,0.1,0.1,750,15.0,Ti,0.02,2.8696,14.1801,4.942,184,68.0
0.8,0.1,0.08,750,15.0,None,0.0,2.8696,14.192,4.946,176,90.0
0.8,0.1,0.07,750,15.0,Zr,0.01,2.8719,14.194,4.942,185,91.0
0.8,0.1,0.06,750,15.0,None,0.0,2.8734,14.1991,4.942,173,77.0
0.6,0.2,0.2,850,10.0,Zr,0.02,2.867,14.192,4.9501,148,91.0
0.6,0.19,0.2,850,10.0,Zr,0.03,2.873,14.231,4.9534,137,93.0
0.6,0.18,0.2,850,10.0,Zr,0.04,2.876,14.243,4.9524,139,94.0
0.6,0.17,0.2,850,10.0,None,0.0,2.882,14.26,4.948,132,93.0
0.6,0.16,0.2,850,10.0,Sn,0.01,2.888,14.278,4.9439,121,93.0
0.6,0.15,0.2,850,10.0,Sn,0.02,2.885,14.273,4.9473,124,97.0
0.6,0.2,0.2,870,12.0,Sn,0.03,2.866,14.2096,4.958,198,70.0
0.6,0.2,0.2,870,12.0,Sn,0.04,2.8688,14.2318,4.9609,203,83.0
0.6,0.2,0.15,850,10.0,Sn,0.05,2.866,14.239,4.9682,128,88.0
0.6,0.2,0.15,850,10.0,None,0.0,2.877,14.253,4.9541,125,96.0
0.8,0.1,0.1,800,15.0,Mo,0.007,2.8717,14.2038,4.9462,171,65.0
0.792,0.099,0.099,800,15.0,Al,0.05,2.8718,14.211,4.9485,158,90.0
0.776,0.097,0.097,800,15.0,Fe,0.05,2.8753,14.2444,4.9541,154,84.0
0.8,0.1,0.1,800,16.0,None,0.0,2.8699,14.2005,4.9481,182,79.0
0.8,0.1,0.1,800,16.0,Ti,0.01,2.8767,14.2193,4.9428,170,93.0
0.8,0.1,0.1,800,16.0,Ti,0.03,2.8708,14.2079,4.949,180,87.0
0.8,0.1,0.1,800,16.0,None,0.0,2.8649,14.1735,4.9472,146,87.0
0.796,0.0995,0.0995,800,16.0,K,0.05,2.8696,14.1944,4.9464,175,87.0
0.792,0.099,0.099,800,16.0,Ti,0.05,2.8693,14.1871,4.9444,188,90.0
0.784,0.098,0.098,800,16.0,None,0.0,2.8665,14.1792,4.9465,157,76.0
0.6,0.2,0.2,820,14.0,Cu,0.005,2.8611,14.1973,4.9622,157,91.0
0.6,0.19,0.2,820,14.0,Cu,0.01,2.8652,14.2377,4.9692,165,92.0
0.83,0.12,0.05,770,10.0,Cu,0.02,2.8685,14.1949,4.9485,202,87.0
0.83,0.12,0.05,770,10.0,None,0.0,,,,197,92.0
0.83,0.12,0.05,770,10.0,Cu,0.01,,,,200,94.0
0.83,0.12,0.05,770,10.0,None,0.0,,,,196,92.0
0.83,0.12,0.05,770,10.0,Mg,0.0072,,,,191,92.0
0.83,0.12,0.05,750,14.0,Mg,0.0096,2.8754,14.1946,4.9365,184,89.0
0.83,0.12,0.05,750,14.0,Mg,0.012,2.8752,14.1951,4.937,179,92.0
0.83,0.12,0.05,750,14.0,Mg,0.0145,2.8753,14.1994,4.9384,190,96.0
0.83,0.12,0.05,750,14.0,None,0.0,2.8738,14.2078,4.9439,182,95.0
0.8,0.1,0.1,800,12.0,Al,0.0072,2.8705,14.1972,4.9459,182,42.0
0.8,0.1,0.1,800,12.0,Al,0.0096,2.8706,14.1997,4.9466,172,90.0
0.8,0.1,0.1,800,12.0,Al,0.012,2.8709,14.2024,4.947,182,95.0
0.8,0.1,0.1,800,12.0,None,0.0,2.8713,14.2127,4.9499,163,88.0
0.8,0.1,0.1,800,12.0,Nb,0.005,2.8707,14.2019,4.9472,139,82.0
0.8,0.1,0.1,800,12.0,Nb,0.01,2.8705,14.1972,4.9459,205,49.0
0.8,0.1,0.1,800,12.0,Nb,0.02,2.8706,14.1997,4.9466,193,85.0
0.8,0.1,0.1,800,12.0,Nb,0.03,2.8709,14.2024,4.947,198,91.0
0.8,0.1,0.1,800,12.0,None,0.0,2.8713,14.2127,4.9499,177,82.0
0.8,0.1,0.1,800,12.0,Nb,0.005,2.8707,14.2019,4.9472,166,80.0
0.8,0.1,0.1,800,15.0,Nb,0.01,2.8701,14.1812,4.941,172,79.0
0.792,0.099,0.099,800,15.0,Nb,0.02,2.8793,14.2436,4.9469,190,90.0
0.8,0.1,0.1,820,12.0,Nb,0.03,2.8712,14.1582,4.9311,187,71.0
0.8,0.1,0.1,820,12.0,None,0.0,2.8741,14.2073,4.9432,175,95.0
0.8,0.1,0.1,820,12.0,Nb,0.01,2.8742,14.2092,4.9437,190,80.0
0.8,0.1,0.1,800,12.0,None,0.0,2.8695,14.1998,4.9485,179,81.0
0.8,0.1,0.1,800,12.0,Ti,,2.8699,14.2003,4.948,177,84.0
0.8,0.1,0.1,800,12.0,B,,2.8707,14.2051,4.9483,176,90.0
0.8,0.1,0.1,800,12.0,None,0.0,2.8721,14.2067,4.9465,173,82.0
0.8,0.1,0.1,800,12.0,Zr,0.005,2.8695,14.1998,4.9485,164,89.0
